first_name,last_name,post_nominal_initials,affiliation_primary,affiliation_2,affiliation_4,strategic_advisory_cmt,cihr_study,study_team,web_bio,affiliation_3,ORCID
Rafael,Meza,PhD,BC Cancer Research Institute,University of British Columbia,NA,NA,Co-investigator,active,https://www.bccrc.ca/dept/phs/people/rafael-meza,NA,
Deirdre,Hennessy,PhD,Statistics Canada,NA,NA,NA,Co-investigator,active,n/a,NA,
Massoud,Amini,"PhD, MBA",University of Ottawa,NA,NA,NA,"Co-investigator, trainee",active,.,NA,
Carol,Bennett,MSc,Ottawa Hospital Research Institute,NA,NA,POPCORN Secretariate,Co-investigator,active,n/a,NA,0000-0002-3033-9860
Stacey,Fisher,PhD,Ottawa Hospital Research Institute,NA,NA,NA,"Co-investigator, trainee",active,n/a,NA,0000-0002-4925-7806
Zack,van Allen,"PhD, MBA",University of Ottawa,Bruyère Health Research Institute,NA,NA,"Co-investigator, trainee",active,https://www.zackvanallen.com,NA,0000-0002-5778-6441
James,Wrightson,PhD,University of British Columbia,NA,NA,NA,Collaborator,active,https://jamesgwrightson.com,NA,
Sarah,Beach,MSc,Ottawa Hospital Research Institute,NA,NA,POPCORN Secretariate,NA,active,n/a,NA,0000-0002-4660-0509
Karim,Halal,NA,Ottawa Hospital Research Institute,NA,NA,NA,NA,active,n/a,NA,
Pouria,Mortezaagha,MEng,Ottawa Hospital Research Institute,University of Ottawa,NA,NA,NA,active,.,NA,0009-0006-4768-6654
Shane,Kirkham,NA,Ottawa Hospital Research Institute,NA,NA,NA,NA,active,n/a,NA,
Sarah,Visintini,MLIS,University of Ottawa Heart Institute,NA,NA,NA,NA,active,https://www.sarahvisintini.ca/about,NA,0000-0001-6966-1753
Lucinéia Heloisa,Thom,NA,Federal University of Rio Grande do Sul,NA,NA,NA,NA,NA,http://lattes.cnpq.br/6022637170344999,NA,0000-0002-0620-9302
Maigeng,Zhou,NA,Chinese Center for Disease Control and Prevention (National Center for Chronic and Non-communicable Disease Control and Prevention),NA,NA,NA,NA,NA,https://www.healthdata.org/about/people/maigeng-zhou,NA,
Hongbing,Shen,NA,Chinese Center for Disease Control and Prevention / Nanjing Medical University,NA,NA,NA,NA,NA,https://www.researchgate.net/profile/Hongbing-Shen,NA,
Cheryl,Cohen,NA,University of the Witwatersrand,NA,NA,NA,NA,NA,https://www.wits.ac.za/people/academic-a-z-listing/c/cherylcohenwitsacza/,NA,0000-0003-0376-2302
Lixia,Ge,NA,"Health Services and Outcomes Research, National Healthcare Group",NA,NA,NA,NA,NA,https://corp.nhg.com.sg/HSOR/Pages/Our-Staff.aspx,NA,
John Arputhan,Abisheganaden,NA,"Lee Kong Chian School of Medicine, Nanyang Technological University",NA,NA,NA,NA,NA,https://talentdev.gri.nhg.com.sg/files/Researcher%20Directory/TTSH/TTSH___John_Abisheganaden_Arputhan_v2211.pdf,NA,
G. S. Pradeep,Ghantasala,NA,Chitkara University,NA,NA,NA,NA,NA,https://www.alliance.edu.in/faculty/dr-ggs-pradeep; https://scholar.google.co.in/citations?user=niwqX7AAAAAJ&hl=en,NA,
David Yawe,Guwatudde,NA,Makerere University,NA,NA,NA,NA,NA,https://sph.mak.ac.ug/about-us/personnel/prof-david-yawe-guwatudde,NA,0000-0003-3563-0224
Christijan Marijn,Hazelbag,NA,South African Centre for Epidemiological Modelling and Analysis (SACEMA),NA,NA,NA,NA,NA,https://www.researchgate.net/profile/Christijan-Hazelbag,NA,
Wim,Delva,NA,South African Centre for Epidemiological Modelling and Analysis (SACEMA),NA,NA,NA,NA,NA,https://www.sacema.org/person/prof-wim-delva-phd/,NA,0000-0001-8054-1904
Wirichada,Pan-ngum,NA,Mahidol University,NA,NA,NA,NA,NA,https://www.tm.mahidol.ac.th/research/client/researcherInfo.php?userID=62,NA,0000-0002-9839-5359
Marcus Tolentino,Silva,NA,University of Brasília,NA,NA,NA,NA,NA,https://www.researchgate.net/profile/Marcus-Silva-19,NA,
Bach,Tran,NA,Vietnam National University,NA,NA,NA,NA,NA,https://www.researchgate.net/profile/Bach-Tran-3,NA,
Daniel,Kim,NA,Northwestern University,NA,NA,NA,NA,NA,https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=34612,NA,
Ross,Upshur,NA,"Dalla Lana School of Public Health, University of Toronto",NA,NA,NA,NA,NA,https://www.dlsph.utoronto.ca/faculty-profile/upshur-ross-e-g/,NA,
Nancy,Kass,NA,Johns Hopkins Bloomberg School of Public Health,NA,NA,NA,NA,NA,https://publichealth.jhu.edu/faculty/362/nancy-kass,NA,
Sanjay,Basu,NA,"Waymark, PLOS Med",NA,NA,NA,NA,NA,https://thepcc.org/profiles/sanjay-basu/,NA,
Nandita,Saikia,NA,"International Institute for Population Sciences (IIPS), Mumbai",NA,NA,NA,NA,NA,https://nanditasaikia.com,NA,
Vivian,Welch,NA,Bruyère Health Research Institute,University of Ottawa,NA,NA,NA,NA,https://www.bruyere.org/en/research-vivian-welch,NA,
Abraham,Flaxman,NA,"Institute for Health Metrics and Evaluation (IHME), University of Washington",NA,NA,NA,NA,NA,https://www.healthdata.org/about/people/abraham-flaxman,NA,
Tessa,Tan-Torres Edejer,NA,WHO Geneva,NA,NA,NA,NA,NA,https://www.indepth-network.org/dr-tessa-tan-torres-edejer,NA,
Jason,Thompson,NA,University of Melbourne,NA,NA,NA,NA,NA,https://findanexpert.unimelb.edu.au/profile/769805-jason-thompson,NA,
Hsien-Ho,Lin,NA,National Taiwan University,NA,NA,NA,NA,NA,https://iipp.tw/mentor/688,NA,
Lennert,Veerman,NA,Griffith University,NA,NA,NA,NA,NA,https://experts.griffith.edu.au/18793-lennert-veerman,NA,
Linda,Cobiac,NA,Griffith University,NA,NA,NA,NA,NA,https://experts.griffith.edu.au/32227-linda-cobiac/about,NA,
K. Srinath,Reddy,"MD, DM, MSc",Public Health Foundation of India (PHFI),NA,NA,NA,NA,NA,https://phfi.org/member/profksrinathreddy/,NA,0000-0003-3416-3548
Wanrudee,Isaranuwatchai,NA,"Health Intervention and Technology Assessment Program (HITAP), Ministry of Public Health",NA,NA,NA,NA,NA,https://www.hitap.net/en/staff/172294,NA,
Chen,Wang,NA,Chinese Academy of Medical Sciences and Peking Union Medical College,NA,NA,NA,NA,NA,https://covid19commission.org/chen-wang,NA,
Yot,Teerawattananon,NA,"Health Intervention and Technology Assessment Program (HITAP), Ministry of Public Health",NA,NA,NA,NA,NA,https://www.hitap.net/en/staff/10463,NA,
Belen,Zapata-Diomedi,NA,University of Cambridge,NA,NA,NA,NA,NA,https://www.mrc-epid.cam.ac.uk/people/belen-zapata-diomedi/,NA,
Ismail,Saadi,NA,University of Cambridge,NA,NA,NA,NA,NA,https://www.mrc-epid.cam.ac.uk/people/ismail-saadi/,NA,
Lambed,Tatah,NA,University of Cambridge,NA,NA,NA,NA,NA,https://www.mrc-epid.cam.ac.uk/people/lambed-tatah/,NA,
Haneen,Khreis,NA,University of Cambridge,NA,NA,NA,NA,NA,https://www.mrc-epid.cam.ac.uk/people/haneen-khreis/,NA,
Jasper,ten Dam,NA,RIVM National Institute for Public Health and the Environment,NA,NA,NA,NA,NA,https://theorg.com/org/rivm-national-institute-for-public-health-and-the-environment/org-chart/jasper-ten-dam,NA,
Andreia,Cunha,PhD,PLOS Medicine,NA,NA,SAC Member,NA,NA,https://journals.plos.org/plosmedicine/s/staff-editors,NA,0009-0001-4072-173X
Anna,Vassall,PhD,World Health Organisation,London School of Hygiene and Tropical Medicine,NA,SAC Member,NA,NA,https://www.cgdev.org/expert/anna-vassall,NA,0000-0002-2911-1375
Karen,Hofman,NA,University of the Witwatersrand,NA,NA,NA,NA,NA,https://pricelesssa.ac.za/about/our-team/staff/professor-karen-hofman,NA,
Eric J. (Rocky),Feuer,PhD,"National Cancer Institute, Retired","Cancer Intervention and Surveillance Modeling Network, Retired",NA,SAC Member,NA,NA,.,NA,0000-0003-4842-7751
Naomi,Levitt,NA,University of Cape Town,NA,NA,NA,NA,NA,"https://cdia.uct.ac.za/about-us/staff#:~:text=Naomi%20Levitt%20is%20a%20diabetologist,Initiative%20for%20Africa%20(CDIA).",NA,
Alexandre Dias Porto,Chiavegatto Filho,NA,University of São Paulo /  Revista de Saúde Pública,NA,NA,NA,NA,NA,https://rsp.fsp.usp.br/editor/alexandre-dias-porto-chiavegatto-filho/,NA,
Susan,Goldstein,"MBBCH, MMed",University of the Witwatersrand,NA,NA,SAC Member,NA,NA,https://pricelesssa.ac.za/about/our-team/staff/professor-susan-goldstein,NA,0000-0002-3424-5319
Alex,Welte,PhD,Stellenbosch University,NA,NA,NA,NA,NA,https://www.sacema.org/person/prof-alex-welte-phd/,NA,
Brian,Williams,PhD,Stellenbosch University,NA,NA,NA,NA,NA,https://www.sacema.org/person/prof-brian-williams-phd/,NA,0000-0002-3174-4876
Leigh,Johnson,NA,University of Cape Town,NA,NA,NA,NA,NA,https://health.uct.ac.za/school-public-health/divisions-epidemiology-and-biostatistics-people/dr-leigh-johnson,NA,
Claudia,Hampel,NA,"Ottawa, Canada",NA,NA,SAC Member — Patient Partner,NA,NA,NA,NA,
